Line,Env,DTHD,DTMT,GY,Height
GID7632462,Bed5IR,74,112,7.138661116,102
GID7632463,Bed5IR,74,113,7.49140732,101
GID7632468,Bed5IR,69,114,6.845958403,108
GID7632474,Bed5IR,71,115,6.896701476,104
GID7632477,Bed5IR,80,120,7.0222199,106
GID7632490,Bed5IR,81,122,6.940004216,107
GID7632512,Bed5IR,83,126,6.34109653,105
GID7632516,Bed5IR,78,124,6.534098776,105
GID7632523,Bed5IR,78,121,6.389681906,100
GID7632527,Bed5IR,80,121,6.457016923,106
GID7632537,Bed5IR,76,114,6.835581083,96
GID7632590,Bed5IR,78,119,6.94688847,100
GID7632650,Bed5IR,81,119,6.704597945,96
GID7632664,Bed5IR,74,114,6.984800898,107
GID7632666,Bed5IR,73,114,6.416433835,100
GID7632678,Bed5IR,82,126,6.910918388,101
GID7632737,Bed5IR,75,115,6.089469203,106
GID7633500,Bed5IR,76,116,6.366825725,108
GID7633525,Bed5IR,79,118,6.586159059,103
GID7633586,Bed5IR,75,115,6.966825725,104
GID7633613,Bed5IR,73,114,6.355825725,107
GID7633735,Bed5IR,74,115,6.525825725,101
GID7634235,Bed5IR,77,117,6.327760741,98
GID7634260,Bed5IR,80,119,7.159760741,100
GID7634308,Bed5IR,76,119,6.819760741,104
GID7634321,Bed5IR,74,118,6.912760741,107
GID7634325,Bed5IR,68,113,6.602760741,109
GID7634327,Bed5IR,79,120,6.802427408,105
GID7634328,Bed5IR,80,120,6.335094075,105
GID7634329,Bed5IR,74,114,7.011427408,105
GID7634359,Bed5IR,78,115,6.190094075,104
GID7634362,Bed5IR,74,114,6.741760741,103
GID7634368,Bed5IR,75,115,7.276427408,106
GID7634408,Bed5IR,87,128,6.819427408,99
GID7634437,Bed5IR,79,118,6.580093094,105
GID7634468,Bed5IR,73,117,6.964759761,108
GID7634476,Bed5IR,69,113,6.527426428,103
GID7634493,Bed5IR,72,112,6.769426428,110
GID7634498,Bed5IR,69,116,7.002093094,107
GID7634572,Bed5IR,75,115,6.930825725,110
GID7634620,Bed5IR,74,117,6.692159059,94
GID7634648,Bed5IR,79,121,6.533942066,105
GID7634652,Bed5IR,76,117,6.430075012,108
GID7634659,Bed5IR,73,114,6.823073419,104
GID7634673,Bed5IR,85,125,5.731130099,103
GID7634684,Bed5IR,72,113,5.820488502,106
GID7634685,Bed5IR,79,118,6.038490269,104
GID7634730,Bed5IR,78,119,7.042042429,107
GID7634731,Bed5IR,79,119,6.840707009,101
